Jason B-PER
Hu I-PER
, O
formerly O
foreign O
minister O
and O
now O
director O
of O
the B-ORG
Department I-ORG
of I-ORG
Cultural I-ORG
Affairs I-ORG
in O
the O
KMT B-ORG
, O
warns O
that O
the O
US B-LOC
is O
already O
leaning O
toward O
the O
PRC B-LOC
in O
the O
trilateral O
relationship O
. O

No O
student O
should O
be O
permitted O
to O
be O
graduated O
from O
elementary O
school O
without O
having O
mastered O
the O
3 B-MISC
R O
's O
at O
the O
level O
that O
prevailed O
20 B-MISC
years I-MISC
ago I-MISC
. O

The O
Russian B-MISC
leader O
is O
expected O
to O
discuss O
the O
possibility O
of O
collecting O
some O
of O
the B-MISC
billions I-MISC
of I-MISC
dollars I-MISC
in O
Soviet B-MISC
era O
debt O
still O
owed O
to O
Moscow B-LOC
by O
Cuba B-LOC
. O

The O
Ginnie B-ORG
Mae I-ORG
9 B-MISC
% I-MISC
issue O
was O
yielding O
9.34 B-MISC
% I-MISC
to O
a O
12 B-MISC
- I-MISC
year I-MISC
average O
life O
assumption O
, O
as O
the O
spread O
above O
the O
Treasury B-ORG
10 B-MISC
- I-MISC
year I-MISC
note O
held O
at O
1.46 B-MISC
percentage O
points O
. O

And O
he O
is O
n't O
the O
only O
big O
spender O
: O
NBC B-ORG
will O
pay O
a B-MISC
record I-MISC
$ I-MISC
401 I-MISC
million I-MISC
for O
the O
1992 B-MISC
Summer B-MISC
Games I-MISC
, O
and O
ESPN B-ORG
, O
80 B-MISC
% I-MISC
- O
owned O
by O
Capital B-ORG
Cities I-ORG
/ I-ORG
ABC I-ORG
, O
will O
shell O
out O
$ B-MISC
400 I-MISC
million I-MISC
for O
four B-MISC
years I-MISC
of O
baseball O
, O
airing O
175 B-MISC
regular O
- O
season O
games O
a O
year O
. O

On O
December B-MISC
26th I-MISC
of I-MISC
last I-MISC
year I-MISC
, O
the B-ORG
" I-ORG
Hubei I-ORG
Daily I-ORG
" I-ORG
released O
a O
group O
of O
articles O
, O
naming O
and O
criticizing O
a O
comrade O
at O
a O
village O
broadcasting O
station O
for O
fabricating O
a O
news O
release O
, O
" O
Guofu B-PER
Ba I-PER
hits O
a O
roadblock O
" O
. O

Dow B-ORG
Jones I-ORG
& I-ORG
Co. I-ORG
announced O
Wall B-ORG
Street I-ORG
Journal I-ORG
advertising O
rates O
for O
1990 B-MISC
. O

During O
the B-MISC
three I-MISC
and I-MISC
a I-MISC
half I-MISC
months I-MISC
from O
August B-MISC
20 I-MISC
to I-MISC
December I-MISC
5 I-MISC
, I-MISC
1940 I-MISC
, O
the B-ORG
Eighth I-ORG
Route I-ORG
Army I-ORG
fought O
a O
total O
of O
1,824 B-MISC
battles O
large O
and O
small O
. O

The O
smoking O
prohibition O
remains O
attached O
to O
a O
$ B-MISC
27.1 I-MISC
billion I-MISC
transportation O
bill O
that O
must O
still O
overcome O
budget O
obstacles O
in O
Congress B-ORG
. O

The B-ORG
G I-ORG
- I-ORG
7 I-ORG
